id,text,sentiment,domain
35,ऑर्डरमधील गोड पदार्थ पूर्णपणे गायब होता.,Negative,अन्न वितरण
36,नवीन मासिक पाससाठी अर्ज ऑनलाइन स्वीकारले जात आहेत.,Neutral,सार्वजनिक वाहतूक
37,सूचना इतक्या स्पष्ट होत्या की कोणतीही अडचण आली नाही.,Positive,मोबाईल अॅप्स
38,परताव्याची रक्कम अजूनही खात्यात जमा झालेली नाही.,Negative,ऑनलाइन खरेदी
39,नवीन विक्रेत्यांची नोंदणी पुढील आठवड्यात सुरू होईल.,Neutral,ऑनलाइन व्यापार
40,कर्मचाऱ्यांच्या विनम्र वागणुकीमुळे पुन्हा येथे येण्याची इच्छा झाली.,Positive,उपाहारगृह
41,चित्रपटातील कथा सुरुवातीलाच गोंधळलेली वाटली.,Negative,चित्रपट
42,लसीकरण शिबिर सकाळी नऊ वाजल्यापासून सुरू आहे.,Neutral,आरोग्यसेवा
43,शिक्षकांनी प्रत्येक विद्यार्थ्याला स्वतंत्र मार्गदर्शन केले.,Positive,शिक्षण
44,नवीन अद्ययावत आवृत्तीनंतर अनेक सुविधा गायब झाल्या.,Negative,तंत्रज्ञान
45,खाते पडताळणीसाठी आवश्यक कागदपत्रांची यादी प्रसिद्ध झाली आहे.,Neutral,बँकिंग
46,डोंगरमाथ्यावरून दिसणारे दृश्य मन मोहून टाकणारे होते.,Positive,प्रवास
47,पंचांच्या चुकीच्या निर्णयामुळे सामना वादग्रस्त ठरला.,Negative,क्रीडा
48,पुढील अधिवेशनाची तारीख अधिकृतपणे निश्चित करण्यात आली आहे.,Neutral,राजकारण
49,नाटकातील कलाकारांनी अप्रतिम अभिनय सादर केला.,Positive,मनोरंजन
50,मदतीसाठी अनेकदा संपर्क करूनही प्रतिसाद मिळाला नाही.,Negative,ग्राहक सेवा
51,विक्रेत्याने ऑर्डरसोबत छोटंसं आभारपत्र पाठवल्यामुळे खूप छान वाटलं.,Positive,ऑनलाइन व्यापार
52,जेवणातील भाजी पूर्णपणे थंड असल्यामुळे निराशा झाली.,Negative,उपाहारगृह
53,या चित्रपटाचे चित्रीकरण कोकणातील विविध ठिकाणी झाले आहे.,Neutral,चित्रपट
54,रुग्णालयातील परिचारिकांनी अतिशय काळजीपूर्वक सेवा दिली.,Positive,आरोग्यसेवा
55,वर्गातील प्रोजेक्टर बंद असल्यामुळे सादरीकरण पूर्ण होऊ शकले नाही.,Negative,शिक्षण
56,नवीन सुरक्षा धोरण आजपासून सर्व वापरकर्त्यांसाठी लागू करण्यात आले आहे.,Neutral,तंत्रज्ञान
57,मुदत ठेव उघडण्याची प्रक्रिया अपेक्षेपेक्षा खूप सोपी वाटली.,Positive,बँकिंग
58,पर्यटनस्थळी मार्गदर्शक वेळेवर आला नाही.,Negative,प्रवास
59,स्पर्धेच्या अंतिम फेरीसाठी निवड झालेल्या खेळाडूंची यादी प्रसिद्ध झाली आहे.,Neutral,क्रीडा
60,नागरिकांच्या सूचना स्वीकारण्यासाठी विशेष शिबिर आयोजित करण्यात आले.,Positive,राजकारण
61,कार्यक्रम सुरू होण्याआधीच अनेक तांत्रिक अडचणी निर्माण झाल्या.,Negative,मनोरंजन
62,तक्रार नोंदवल्यानंतर चौवीस तासांत उत्तर मिळेल असे सांगण्यात आले.,Neutral,ग्राहक सेवा
63,माझ्या लेखाला भरपूर सकारात्मक प्रतिक्रिया मिळाल्या.,Positive,सामाजिक माध्यमे
64,प्रमाणपत्रासाठी संकेतस्थळ वारंवार बंद पडत होते.,Negative,सरकारी सेवा
65,शेतकऱ्यांसाठी माती परीक्षण मोहिमेची घोषणा करण्यात आली आहे.,Neutral,शेती
66,या जॅकेटचे कापड अतिशय आरामदायी वाटले.,Positive,वेशभूषा
67,अन्न पोहोचायला इतका उशीर झाला की ऑर्डर रद्द करावी लागली.,Negative,अन्न वितरण
68,उद्यापासून नवीन बसमार्ग सुरू होणार असल्याची सूचना देण्यात आली.,Neutral,सार्वजनिक वाहतूक
69,ॲपमधील मराठी पर्यायामुळे वापर अधिक सोयीचा झाला.,Positive,मोबाईल अॅप्स
70,मिळालेल्या वस्तूचा आकार मागवलेल्या आकारापेक्षा वेगळा होता.,Negative,ऑनलाइन खरेदी
71,विक्री महोत्सवाची सुरुवात पुढील शुक्रवारी होणार आहे.,Neutral,ऑनलाइन व्यापार
72,मिठाईची चव इतकी छान होती की पुन्हा मागवण्याचा विचार केला.,Positive,उपाहारगृह
73,कथानक खूप संथ असल्यामुळे चित्रपट कंटाळवाणा वाटला.,Negative,चित्रपट
74,रक्तदान शिबिरात मोठ्या संख्येने नागरिकांनी सहभाग घेतला.,Neutral,आरोग्यसेवा
75,शिक्षकांनी अतिरिक्त वर्ग घेऊन सर्व शंका दूर केल्या.,Positive,शिक्षण
76,प्रणालीमध्ये माहिती जतन करताना वारंवार त्रुटी दिसत होत्या.,Negative,तंत्रज्ञान
77,नवीन एटीएम शाखेचे उद्घाटन आज करण्यात आले.,Neutral,बँकिंग
78,समुद्रकिनाऱ्यावरील स्वच्छतेने मन जिंकले.,Positive,प्रवास
79,सरावासाठी आवश्यक साहित्य वेळेवर उपलब्ध झाले नाही.,Negative,क्रीडा
80,निवडणुकीच्या प्रचारासाठी नवीन वेळापत्रक जाहीर झाले आहे.,Neutral,राजकारण
81,विनोदी कलाकारांच्या सादरीकरणामुळे प्रेक्षक खळखळून हसले.,Positive,मनोरंजन
82,सहाय्यकाने माझे बोलणे पूर्ण ऐकूनही कोणतीही मदत केली नाही.,Negative,ग्राहक सेवा
83,नवीन गोपनीयता नियमांविषयी माहिती सर्व वापरकर्त्यांना पाठवण्यात आली.,Neutral,सामाजिक माध्यमे
84,कार्यालयातील कर्मचाऱ्यांनी वृद्ध व्यक्तीला तत्काळ मदत केली.,Positive,सरकारी सेवा
85,पिकांवर अचानक आलेल्या रोगामुळे मोठे नुकसान झाले.,Negative,शेती
86,नवीन संग्रह पुढील आठवड्यापासून विक्रीसाठी उपलब्ध होईल.,Neutral,वेशभूषा
87,गरमागरम जेवण व्यवस्थित पॅक करून पोहोचवले गेले.,Positive,अन्न वितरण
88,तिकीट तपासणीदरम्यान अनावश्यक विलंब झाला.,Negative,सार्वजनिक वाहतूक
89,नवीन आवृत्तीत काही सुविधा तात्पुरत्या बंद ठेवण्यात आल्या आहेत.,Neutral,मोबाईल अॅप्स
90,परताव्याची प्रक्रिया अत्यंत जलद पूर्ण झाली.,Positive,ऑनलाइन खरेदी
91,सवलतीच्या नावाखाली चुकीची किंमत दाखवण्यात आली.,Negative,ऑनलाइन व्यापार
92,रेस्टॉरंट उद्या देखभालीसाठी बंद राहणार आहे.,Neutral,उपाहारगृह
93,पार्श्वसंगीतामुळे चित्रपटाचा प्रभाव अधिक वाढला.,Positive,चित्रपट
94,औषध मिळण्यासाठी खूप वेळ रांगेत थांबावे लागले.,Negative,आरोग्यसेवा
95,शैक्षणिक सहलीची यादी सूचना फलकावर लावण्यात आली आहे.,Neutral,शिक्षण
96,नवीन संगणकामुळे कामाचा वेग लक्षणीय वाढला.,Positive,तंत्रज्ञान
97,व्यवहार पूर्ण झाल्यानंतर चुकीचा संदेश प्राप्त झाला.,Negative,बँकिंग
98,या पर्यटनस्थळाचे प्रवेशद्वार सकाळी आठ वाजता उघडते.,Neutral,प्रवास
99,प्रशिक्षकांनी प्रत्येक खेळाडूच्या कामगिरीचे स्वतंत्र कौतुक केले.,Positive,क्रीडा
100,बैठकीत घेतलेल्या निर्णयांची अंमलबजावणी अजूनही सुरू झालेली नाही.,Negative,राजकारण
101,गावातील जुन्या वाचनालयाचे नूतनीकरण झाल्यामुळे आता तिथे बसून अभ्यास करायला आनंद वाटतो.,Positive,शिक्षण
102,मागवलेला दिवा चालू केल्यावर लगेच बंद पडला.,Negative,ऑनलाइन व्यापार
103,आजपासून नवीन बसमार्गावर अतिरिक्त फेऱ्या सुरू करण्यात आल्या आहेत.,Neutral,सार्वजनिक वाहतूक
104,लहान मुलांसाठी आयोजित विज्ञान प्रदर्शन खूप माहितीपूर्ण आणि आकर्षक होते.,Positive,शिक्षण
105,रेस्टॉरंटमध्ये ऑर्डर दिल्यानंतर बराच वेळ कोणीही विचारपूस केली नाही.,Negative,उपाहारगृह
106,या महिन्यातील वीजबिलाची रक्कम संकेतस्थळावर उपलब्ध झाली आहे.,Neutral,सरकारी सेवा
107,मोबाईलची बॅटरी दिवसभर उत्तम टिकली.,Positive,तंत्रज्ञान
108,चित्रपटगृहातील आसने अस्वच्छ असल्यामुळे संपूर्ण अनुभव खराब झाला.,Negative,चित्रपट
109,आरोग्य तपासणी शिबिर सकाळी दहा ते दुपारी दोन या वेळेत होणार आहे.,Neutral,आरोग्यसेवा
110,ग्राहकांच्या सूचनांनुसार उत्पादनात केलेले बदल खरोखर उपयोगी ठरले.,Positive,ऑनलाइन व्यापार
111,बँक खात्यातील व्यवहार चुकीच्या तारखेस दाखवले गेले.,Negative,बँकिंग
112,प्रवाशांसाठी नवीन आरक्षण नियम लागू करण्यात आले आहेत.,Neutral,प्रवास
113,प्रशिक्षकांनी प्रत्येक खेळाडूचा आत्मविश्वास वाढवण्यासाठी विशेष सराव घेतला.,Positive,क्रीडा
114,सभागृहात वातानुकूलन बंद असल्यामुळे बसणे कठीण झाले.,Negative,मनोरंजन
115,पुढील ग्रामसभेची सूचना गावातील सूचना फलकावर लावण्यात आली आहे.,Neutral,राजकारण
116,माझ्या प्रश्नाचे उत्तर प्रतिनिधीने अगदी शांतपणे समजावून सांगितले.,Positive,ग्राहक सेवा
117,तक्रार नोंदवूनही अनेक दिवस कोणताही प्रतिसाद मिळाला नाही.,Negative,ग्राहक सेवा
118,अधिकृत निवेदन दुपारी प्रसिद्ध होणार असल्याचे सांगण्यात आले.,Neutral,सरकारी सेवा
119,सेंद्रिय शेतीबाबत मिळालेले मार्गदर्शन अत्यंत उपयुक्त ठरले.,Positive,शेती
120,सततच्या अवकाळी पावसामुळे भाजीपाला खराब झाला.,Negative,शेती
121,या हंगामातील पेरणीचे अंदाजपत्रक जाहीर करण्यात आले आहे.,Neutral,शेती
122,उत्सवासाठी निवडलेला पारंपरिक पोशाख सर्वांना आवडला.,Positive,वेशभूषा
123,शिवण सुटल्यामुळे नवीन कपडे लगेच वापरता आले नाहीत.,Negative,वेशभूषा
124,नवीन संग्रह पुढील सोमवारपासून सर्व शाखांमध्ये उपलब्ध असेल.,Neutral,वेशभूषा
125,गरम पोळी आणि भाजी योग्य अवस्थेत पोहोचली.,Positive,अन्न वितरण
126,पेयाची बाटली पूर्णपणे गळत असल्याचे उघडल्यावर लक्षात आले.,Negative,अन्न वितरण
127,वितरणाची अपेक्षित वेळ ॲपमध्ये दाखवण्यात आली आहे.,Neutral,अन्न वितरण
128,रेल्वे वेळेआधी आल्यामुळे पुढचा प्रवास आरामात झाला.,Positive,सार्वजनिक वाहतूक
129,गर्दीमुळे बसमध्ये चढणेही कठीण झाले.,Negative,सार्वजनिक वाहतूक
130,स्थानकावरील चौकशी कक्ष सकाळी सहा वाजता उघडतो.,Neutral,सार्वजनिक वाहतूक
131,नवीन आवृत्तीमुळे ॲप अधिक वेगाने चालू लागले.,Positive,मोबाईल अॅप्स
132,प्रत्येक अद्ययावतीकरणानंतर पुन्हा लॉगिन करावे लागत असल्याने त्रास होतो.,Negative,मोबाईल अॅप्स
133,देखभालीसाठी सेवा काही काळ बंद राहील.,Neutral,मोबाईल अॅप्स
134,विक्रेत्याने वस्तू सुरक्षितपणे पॅक करून पाठवली.,Positive,ऑनलाइन खरेदी
135,ऑर्डर रद्द करूनही पैसे परत मिळण्यास खूप उशीर झाला.,Negative,ऑनलाइन खरेदी
136,सवलतीची योजना महिनाअखेरपर्यंत सुरू राहणार आहे.,Neutral,ऑनलाइन खरेदी
137,हॉटेलमधील गोड पदार्थाची चव अप्रतिम होती.,Positive,उपाहारगृह
138,जेवण वाढताना स्वच्छतेची अजिबात काळजी घेतली गेली नाही.,Negative,उपाहारगृह
139,आज विशेष भोजनाची स्वतंत्र यादी उपलब्ध आहे.,Neutral,उपाहारगृह
140,कथानकातील शेवट अनपेक्षित आणि प्रभावी वाटला.,Positive,चित्रपट
141,संवाद स्पष्ट ऐकू न आल्यामुळे कथा समजण्यात अडचण आली.,Negative,चित्रपट
142,चित्रपटाला प्रादेशिक पुरस्कारासाठी नामांकन मिळाले आहे.,Neutral,चित्रपट
143,तपासणीदरम्यान डॉक्टरांनी संयमाने सर्व प्रश्नांची उत्तरे दिली.,Positive,आरोग्यसेवा
144,औषधांचा साठा संपल्यामुळे पुन्हा यावे लागले.,Negative,आरोग्यसेवा
145,नवीन वैद्यकीय विभाग उद्यापासून कार्यरत होईल.,Neutral,आरोग्यसेवा
146,शिक्षकांनी कठीण विषय सोप्या उदाहरणांनी समजावला.,Positive,शिक्षण
147,प्रयोगासाठी लागणारे साहित्य वेळेवर उपलब्ध झाले नाही.,Negative,शिक्षण
148,पुढील अंतर्गत परीक्षेचे वेळापत्रक जाहीर करण्यात आले आहे.,Neutral,शिक्षण
149,इंटरनेटचा वेग वाढल्यामुळे काम पटकन पूर्ण झाले.,Positive,तंत्रज्ञान
150,संकेतस्थळावरून फाईल डाउनलोडच होत नव्हती.,Negative,तंत्रज्ञान
151,आजचा दिवस खूप छान गेला.,Positive,दैनंदिन जीवन
152,आजचा दिवस खूप वाईट गेला.,Negative,दैनंदिन जीवन
153,आज सकाळी सूर्य उगवला.,Neutral,दैनंदिन जीवन
154,आजच्या परीक्षेत मला चांगले गुण मिळाले.,Positive,शिक्षण
155,आजच्या परीक्षेत मला अपेक्षित गुण मिळाले नाहीत.,Negative,शिक्षण
156,आज कॉलेजमध्ये व्याख्यान झाले.,Neutral,शिक्षण
157,आजचे जेवण खूप स्वादिष्ट होते.,Positive,अन्न
158,आजचे जेवण अजिबात चांगले नव्हते.,Negative,अन्न
159,आज दुपारी भात आणि आमटी होती.,Neutral,अन्न
160,हा मोबाईल उत्तम काम करतो.,Positive,तंत्रज्ञान
161,या मोबाईलची बॅटरी लवकर संपते.,Negative,तंत्रज्ञान
162,या मोबाईलमध्ये १२८ जीबी स्टोरेज आहे.,Neutral,तंत्रज्ञान
163,प्रवास खूप आनंददायी झाला.,Positive,प्रवास
164,प्रवासात खूप अडचणी आल्या.,Negative,प्रवास
165,बस सकाळी आठ वाजता निघाली.,Neutral,प्रवास
166,आजचे हवामान आल्हाददायक आहे.,Positive,हवामान
167,आजचे हवामान खूप त्रासदायक आहे.,Negative,हवामान
168,आज ढगाळ वातावरण आहे.,Neutral,हवामान
169,आमच्या संघाने शानदार विजय मिळवला.,Positive,क्रीडा
170,आमचा संघ सामना हरला.,Negative,क्रीडा
171,आज क्रिकेटचा सामना आहे.,Neutral,क्रीडा
172,आज संपूर्ण कुटुंब एकत्र आले.,Positive,कुटुंब
173,आज घरी सतत वाद झाले.,Negative,कुटुंब
174,आज घरी पाहुणे आले.,Neutral,कुटुंब
175,ही वस्तू पैशाची पूर्ण किंमत वसूल आहे.,Positive,खरेदी
176,ही वस्तू निकृष्ट दर्जाची आहे.,Negative,खरेदी
177,दुकान सकाळी दहा वाजता उघडते.,Neutral,खरेदी
178,आता माझी तब्येत चांगली आहे.,Positive,आरोग्य
179,आज माझी तब्येत बरी नाही.,Negative,आरोग्य
180,आज डॉक्टरांची भेट आहे.,Neutral,आरोग्य
181,हा चित्रपट मनापासून आवडला.,Positive,चित्रपट
182,हा चित्रपट पूर्णपणे निराशाजनक होता.,Negative,चित्रपट
183,हा चित्रपट दोन तासांचा आहे.,Neutral,चित्रपट
184,येथील सेवा उत्कृष्ट होती.,Positive,रेस्टॉरंट
185,येथील अन्नाची चव अजिबात आवडली नाही.,Negative,रेस्टॉरंट
186,रेस्टॉरंट सकाळी अकरा वाजता उघडते.,Neutral,रेस्टॉरंट
187,आजचा प्रेझेंटेशन खूप चांगला झाला.,Positive,कॉलेज
188,आजचा प्रेझेंटेशन अपेक्षेप्रमाणे झाला नाही.,Negative,कॉलेज
189,आज कॉलेजमध्ये दोन व्याख्याने झाली.,Neutral,कॉलेज
190,या लॅपटॉपचा वेग खूप चांगला आहे.,Positive,तंत्रज्ञान
191,हा लॅपटॉप सतत हँग होतो.,Negative,तंत्रज्ञान
192,या लॅपटॉपमध्ये १६ जीबी रॅम आहे.,Neutral,तंत्रज्ञान
193,रेल्वे प्रवास आरामदायी होता.,Positive,प्रवास
194,प्रवासामुळे खूप त्रास झाला.,Negative,प्रवास
195,गाडी दुपारी तीन वाजता सुटते.,Neutral,प्रवास
196,औषध घेतल्यावर मला बरे वाटले.,Positive,आरोग्य
197,आज दिवसभर अशक्तपणा जाणवला.,Negative,आरोग्य
198,आज दुपारी डॉक्टरांची भेट आहे.,Neutral,आरोग्य
199,बँकेतील काम पटकन पूर्ण झाले.,Positive,बँक
200,बँकेत खूप वेळ रांगेत थांबावे लागले.,Negative,बँक
201,बँक सोमवार ते शुक्रवार सुरू असते.,Neutral,बँक
202,यंदा पिकाला चांगले उत्पादन आले.,Positive,शेती
203,अवकाळी पावसामुळे पिकांचे नुकसान झाले.,Negative,शेती
204,शेतात आज पाणी देण्यात आले.,Neutral,शेती
205,यंदाचा गणेशोत्सव आनंदात साजरा झाला.,Positive,सण
206,यंदा सणाचा उत्साह कमी वाटला.,Negative,सण
207,दिवाळी पुढील महिन्यात आहे.,Neutral,सण
208,ही माहिती खूप उपयुक्त वाटली.,Positive,सोशल मीडिया
209,या पोस्टमध्ये चुकीची माहिती होती.,Negative,सोशल मीडिया
210,आज नवीन पोस्ट प्रकाशित झाली.,Neutral,सोशल मीडिया
211,ऑनलाइन मागवलेले उत्पादन वेळेवर मिळाले.,Positive,ई-कॉमर्स
212,ऑनलाइन आलेले उत्पादन खराब निघाले.,Negative,ई-कॉमर्स
213,ऑर्डर काल नोंदवण्यात आली.,Neutral,ई-कॉमर्स
214,हे अॅप वापरण्यास खूप सोपे आहे.,Positive,मोबाईल अॅप
215,हे अॅप वारंवार बंद पडते.,Negative,मोबाईल अॅप
216,या अॅपची नवीन आवृत्ती उपलब्ध आहे.,Neutral,मोबाईल अॅप
217,हे पुस्तक प्रेरणादायी आहे.,Positive,पुस्तक
218,हे पुस्तक खूप कंटाळवाणे वाटले.,Negative,पुस्तक
219,या पुस्तकात दहा प्रकरणे आहेत.,Neutral,पुस्तक
220,आज मला नवीन नोकरीची ऑफर मिळाली.,Positive,नोकरी
221,माझा अर्ज नाकारण्यात आला.,Negative,नोकरी
222,मुलाखत पुढील सोमवारी आहे.,Neutral,नोकरी
223,उद्यानातील वातावरण खूप शांत होते.,Positive,उद्यान
224,उद्यानात सर्वत्र कचरा पडला होता.,Negative,उद्यान
225,उद्यान सकाळी सहा वाजता उघडते.,Neutral,उद्यान
226,हॉटेलची स्वच्छता उत्कृष्ट होती.,Positive,हॉटेल
227,हॉटेलची खोली अस्वच्छ होती.,Negative,हॉटेल
228,हॉटेलमध्ये शंभर खोल्या आहेत.,Neutral,हॉटेल
229,हे गाणे ऐकून मन प्रसन्न झाले.,Positive,संगीत
230,या गाण्याचा आवाज स्पष्ट नव्हता.,Negative,संगीत
231,कार्यक्रमात पाच गाणी सादर झाली.,Neutral,संगीत
232,या ठिकाणचे निसर्गसौंदर्य अप्रतिम आहे.,Positive,पर्यटन
233,प्रवासादरम्यान अनेक अडचणी आल्या.,Negative,पर्यटन
234,हे ठिकाण जिल्ह्यापासून तीस किलोमीटरवर आहे.,Neutral,पर्यटन
235,समस्येचे निराकरण लगेच झाले.,Positive,ग्राहक सेवा
236,माझ्या तक्रारीकडे दुर्लक्ष करण्यात आले.,Negative,ग्राहक सेवा
237,तक्रार क्रमांक संदेशाद्वारे पाठवला गेला.,Neutral,ग्राहक सेवा
238,शिक्षकांनी विषय खूप छान समजावला.,Positive,ऑनलाइन वर्ग
239,इंटरनेटमुळे वर्ग व्यवस्थित झाला नाही.,Negative,ऑनलाइन वर्ग
240,वर्ग सकाळी नऊ वाजता सुरू होतो.,Neutral,ऑनलाइन वर्ग
241,माझे बँकेचे काम काही मिनिटांत पूर्ण झाले.,Positive,बँकिंग
242,व्यवहार पूर्ण होण्यासाठी खूप वेळ लागला.,Negative,बँकिंग
243,बँक सकाळी दहा वाजता सुरू होते.,Neutral,बँकिंग
244,डॉक्टरांच्या उपचारांमुळे मला आराम मिळाला.,Positive,आरोग्य
245,औषधांचा काहीच फायदा झाला नाही.,Negative,आरोग्य
246,आज दवाखान्यात नियमित तपासणी झाली.,Neutral,आरोग्य
247,ऑनलाइन प्रमाणपत्र सहज मिळाले.,Positive,सरकारी सेवा
248,अर्ज मंजूर होण्यासाठी वारंवार फेऱ्या माराव्या लागल्या.,Negative,सरकारी सेवा
249,अर्ज ऑनलाइन सादर करण्यात आला.,Neutral,सरकारी सेवा
250,आज थंड वाऱ्यामुळे वातावरण आनंददायी झाले.,Positive,हवामान
251,उकाड्यामुळे दिवसभर त्रास झाला.,Negative,हवामान
252,आज कमाल तापमान ३२ अंश आहे.,Neutral,हवामान
253,शेतात यंदा भरघोस पीक आले.,Positive,शेती
254,कीड लागल्यामुळे पिकांचे नुकसान झाले.,Negative,शेती
255,आज शेतात पाणी सोडण्यात आले.,Neutral,शेती
256,मेट्रोचा प्रवास अतिशय सोयीचा वाटला.,Positive,वाहतूक
257,वाहतूक कोंडीमुळे खूप उशीर झाला.,Negative,वाहतूक
258,बस दुपारी दोन वाजता सुटते.,Neutral,वाहतूक
259,मुख्य कलाकाराचा अभिनय उत्कृष्ट होता.,Positive,चित्रपट
260,चित्रपटाची कथा अजिबात आवडली नाही.,Negative,चित्रपट
261,चित्रपटाचा कालावधी दोन तास आहे.,Neutral,चित्रपट
262,येथील मिठाई खूप स्वादिष्ट होती.,Positive,रेस्टॉरंट
263,अन्न थंड आणि बेचव होते.,Negative,रेस्टॉरंट
264,रेस्टॉरंट रात्री अकरापर्यंत खुले असते.,Neutral,रेस्टॉरंट
265,यंदाचा सण आनंदाने साजरा झाला.,Positive,सण
266,पावसामुळे सणाचा आनंद कमी झाला.,Negative,सण
267,उद्या सार्वजनिक सुट्टी आहे.,Neutral,सण
268,या व्हिडिओमधून नवीन माहिती मिळाली.,Positive,सोशल मीडिया
269,या पोस्टमध्ये दिशाभूल करणारी माहिती होती.,Negative,सोशल मीडिया
270,आज नवीन व्हिडिओ अपलोड करण्यात आला.,Neutral,सोशल मीडिया
271,आजच्या कार्यशाळेत मला खूप नवीन गोष्टी शिकायला मिळाल्या.,Positive,शिक्षण
272,अचानक झालेल्या परीक्षेमुळे तयारी अपुरी राहिली.,Negative,शिक्षण
273,आज महाविद्यालयात दोन तासांचे व्याख्यान झाले.,Neutral,शिक्षण
274,या दुकानातील वस्तूंची गुणवत्ता उत्कृष्ट आहे.,Positive,खरेदी
275,मिळालेली वस्तू तुटलेल्या अवस्थेत होती.,Negative,खरेदी
276,दुकान सकाळी नऊ वाजता सुरू होते.,Neutral,खरेदी
277,नवीन सॉफ्टवेअरमुळे माझे काम सोपे झाले.,Positive,तंत्रज्ञान
278,सिस्टम वारंवार बंद पडत असल्याने काम थांबले.,Negative,तंत्रज्ञान
279,या संगणकात आठ जीबी रॅम आहे.,Neutral,तंत्रज्ञान
280,डोंगरातील सहल अविस्मरणीय ठरली.,Positive,प्रवास
281,वाहतूक कोंडीमुळे नियोजित वेळ चुकली.,Negative,प्रवास
282,रेल्वे दुपारी चार वाजता स्टेशनवर पोहोचली.,Neutral,प्रवास
283,घरचे जेवण नेहमीच मनाला समाधान देते.,Positive,अन्न
284,हॉटेलमधील जेवणाची चव निराशाजनक होती.,Negative,अन्न
285,आज दुपारच्या जेवणात पोळी आणि भाजी होती.,Neutral,अन्न
286,नियमित व्यायामामुळे माझी तब्येत सुधारली.,Positive,आरोग्य
287,आज दिवसभर डोकेदुखीमुळे त्रास झाला.,Negative,आरोग्य
288,उद्या सकाळी आरोग्य तपासणी आहे.,Neutral,आरोग्य
