id,Label,clean_tweet_v2
55,1,काल गल्ली मधले काका पोराला रागात म्हणत गाडीने नको जाऊ जवळ आहेपेट्रोल चे भाव बघितले हेच जे २०१४ अन् २०१९ मधे गल्ली मधे फिरून मोदी महागाई कशी होईल समजावून सांगत
56,-1,प्रश्न ज्या लोकांना व्यंग नावाची गोष्ट कळत चूतिये येतात इथे ट्विटरवर
57,-1,स्वतः नामर्द मर्द वर पोवाडा करतोय व्यंग
58,-1,विषय
59,1,आमच्याकडे अफवा पसरली लोकसंख्या नियंत्रनासाठी राहुल गांधीनी लग्न खरं
60,1,राणेना मिळालेलं मंत्री पद पाहून भाजप जॉईन करणार
61,-1,त्यासाठी व्यंग बद्दल असावं लागतं डोकं लावावं लागतं जास्तमग समजतात ट्विट
62,-1,हो माझ्यासाठी मालक तुझ्यासारख्या लोकांसाठी दूध आणून देणारा दूधवाला बाप असतो त्याला रेशनवाला अब्रूशून्य अक्कल शून्य स्वयंघोषित कलमवाला
63,-1,तू बोलतो शरद पवार मोठे नेते नाहीत बर ठीक मग अस तुझ्या घरात राशन आपण बोलतो आपण माणसाचा विरोध करतोय एवढं सांगा त्यांनी तुझं अस तू त्यांना मोठा नेता मानत सांग उगाच बडब
64,-1,राशन आणून दिले संपले तेवढंच टॅक्स सर्वच देताततू एखाद्यच्या घरात कधी गेला राशन त्यानंतर त्याचे प्रॉब्लेम
65,-1,आवडणे आवडणे वेगवेगळ्या गोष्टी तुला साहेब आवडत त्यावर प्रश्न कर उत्तर देतो विनाकारण हिंदी भाषा नको जपान चीन अमेरिका आपण कुणाबद्दल बोलतोय त्याच भान पाहिजे
66,-1,तुझ्या वडिलांना आदरणीय म्हटले तू चाटु बोलतोय शब्द तुझे कसे स्वयंघोषित कलमवाला
67,-1,तू अक्कल शून्य माणूस आहेस मला एवढंच बोलायचं
68,-1,तू निघालातू जस चांगल्या ला चांगले म्हणायची ताकद ठेवतो तसच आम्ही चांगल्या ला चांगलेच म्हणतो तुला सांगतो तू कविता लिही आहेस मेहनत आयुष्य अस शीर्षक देयाला राजकारण म्हणतातयात स्पर्धा आयुष्याची नसते टिकण्य
69,-1,तू कुणीही असला नसला फरक पडत नाहीतू महाराष्ट्राच्या बाहेर जा जरा देश फिरून ये मग साहेबांच्या बद्दल बोल पडळकर कर सारख करतो तू कलमवाला तुझं खरं
70,-1,तू नसेल ओळखत तू ओळखायला नको तुझ्या आदरणीय वडिलांना विचारशरद पवार कोण च पिल्लू
71,-1,हर हर महादेव सुप्रभात
72,-1,जेव्हा अल्लाउद्दीन खिलजी पुण्यातल्या पोरी शोधायला बाहेर पडतो
73,1,पंकजा ताईच्या समर्थकांनी राजीनामा दिला महाआघाडी वाले ताई खूप चांगल्या त्यांच्यावर कायमच अन्याय रोख भूमिका घेतली पाहिजे असं म्हणताना सपोर्ट करताना दिसतायेत त्यांचेच भाजपाचे लोक ताईचे कर्तुत्व स्वतः केलंय असं विरोधात बोलतायत
74,-1,चॅटिंग करताना ईमोजी वापरणं बंद केलं लोक व्यंग अन जोक्स सुद्धा सिरियसली घ्यायला लागतात
75,-1,मुमताज शम्मी च व्यंग नातीना आपण पाहतोय
76,-1,सुप्रभात
77,-1,ओ मिस्टर तुमचं सो व्यंग तुमच्या जवळ ठेवा महाराज म्हटल्यावर कोण मनात सगळ्यांना माहीत दुसरी गोष्ट ज्या बाजीराव पेशव्यांबद्दल तुम्ही बोलता आहात त्यांच्या बद्दल अजून मिळवा एकही युद्ध हरलेला राजा भारतात
78,-1,तुम्ही ज्याची चाकरी करता मामु फोटोग्राफी डिग्री उपमु
79,1,तुम्ही पक्षाध्यक्ष व्हा आमचा बिनशर्त पाठिंबा तुम्ही पप्पू पप्पू घोष लावा
80,-1,मित्रा व्यंग कळत बहुधा तुला
81,-1,जुलय अखिल भारतीय कोंकणी परिशदेचो वो वर्धापन दीस कोवीद महामारेक लागून कार्यावळ जाताकार्यावळ सगळ्या खातीर लायव आसतली आसतली परीशदेन दिल्या लिंकार वचून सगळ्यांनी हि कार्यावळ पळोवची
82,1,मोदी शहा भाजपची ढासळलेली प्रतिमा सुधारण्यासाठी मंत्रिमंडळात नवीन चेहऱ्यांना संधी देतायत त्यात राणेंचा नंबर लागलाय
83,1,व्यंग मराठी लोकांमधे मिश्किल कुच्छीत तिरसटसात मजली इ विश्लेषणे लावून हसणे असते जे इतर कोणाकडेच
84,-1,गुड मॉर्निंग
85,-1,खरं
86,-1,मेमर नाहीय मला व्यंग आवडत नाहीतर माझ्या ईज्जतीचा मार्केट मध्ये काढतील तुम्ही दोघ तुम्हीच दोघ
87,-1,सुप्रभात मित्र
88,-1,तुम्ही सिरीयस होऊन बोलताय व्यंग हेच कळतं
89,1,विशेष असले जातीयवादी शेरेबाजी करणारी महिला हि शिक्षिका सदरील शाळेने त्यांच्यावर संस्कार विभागाची जबाबदारी दिलेली शाळेतील मुला मुलींच्या डोक्यात किती जातीवाद पेरून ठेवला असेल ह्या बाईने सांगता आरतीकर्वे
90,-1,सवयच खोटं बोलणं अन् रेटून नेने
91,-1,जास्तच अभ्यास आहेस पाहत होतो गोपी शेट कडे किती शिकलेले लोक आहेतः
92,1,डाॅक्टर्स डे च्या कम्पाऊंडरला शुभेच्छा बरं देव माणसांना डाॅक्टरला कळतं
93,-1,बोलला ना पैसे वाला त्याला तोच आहेस तु
94,-1,तू पहिला स्वतःचा खरं नाव लाव
95,-1,बाळ सगळे जण बारामती मध्ये येतात भेटायला सांगतात उंगली पकड के मायने राजनीति सिखी है
96,-1,सतरंजी उचलणारे भाजपात वाघ कदम भातखळकर तुम्हाला असं वाटणं साहजिक आहेस्वतःचं नाव खरा वापर चाळीस पैशासाठी ट्विट करतोय
97,-1,सगळं केलं
98,-1,याच्यापुढे तुझ्या दिल्लीतल्या बापाची चालत
99,-1,तुम्ही फक्त मोदींच्या जीवावर उड्या मारा
100,-1,बघ माझे टोटल १६ फॉलोवर हाईतत्यात्तले रोज तिघेच असत्यातएक तुम्ही दुसरे मग कुणाला सांगू सगळ्यात भारी ट्विटर अकऊंट हाय इथ मनोरंजनाची व्यंग अनपेक्षित सुखद धक्के मिळण्याची शाश्वती कायम हाय करायला लागतेय
101,-1,इथ लोकांना व्यंग समजत नाहीत तिथं बोलीभाषा समजणार
102,-1,आमच्या घराजवळच मसाला कांडप केंद्र म्हणलं ज्या लोकांना स्वतावर सगळं ओढून शिव्या घालून वगैरे काढून खूप मजा असेल मध्ये पडलेलाच बरं ज्यांना कळत मस्करी कळत अ
103,-1,देशाला व्यंग पासून वंचित ठेवणाऱ्या मोदींचा निषेध
104,-1,मग त्यासाठीच हि पोस्ट ना ह्यालाच व्यंग म्हणतात हया सरकारला पब मालकांकडून हफ्ता वसुली मिळते बंद करणारच लाचार भिकारड महावसुली सरकार
105,-1,ॐ नमः शिवाय सुप्रभात
106,-1,दुरुस्त करा नंबरमध्ये चूक असेल
107,-1,सावर्णी
108,-1,जमदग्नी
109,1,मैलाचा दगड बातमी मध्य प्रदेशचा लसीकरणाचा रेकॉर्ड १३ वर्षाच्या मुलाचंही लसीकरण दुसरी बातमी
110,-1,शांडिल्य
111,-1,ताईं ना व्यंग च्या बिगरीत त्वरित धाडा
112,1,निवडणूकपूर्व युती नंतर विरोधी पक्षांबरोबर सत्ता स्थापन करणे व्यंग के सांगा
113,-1,मैडम ला कोणी इंग्लिश क्लासेस स्पॉन्सर करा रे नाहीतर व्यंग च अर्थ सांगा कठिन बुवा
114,-1,कोणा कोणा ले इकत घेसान कबूल करतो मंग मले काई काईमी तेच त सांगून रायलो कबुली व्यतिरिक्त अजून पुरावा सापडला बर ठीक हाय गुन्हा त अटक कौन नही अजून
115,-1,पुरावा दाखवा मंग च बोलजा फेसबुक वर हि भेटला असाच पुण्याचा बोलती बंद त्याले २४ गोष्टी विचारल्या त पुरावा भेटी दिवशी नक्की कर्जा मले तुमची माफी मांगीन दिवशी
116,-1,हाव एकटाच शहाणा कबूल करणे पुरावा ह्या गोष्टी मधील फरक समजते नाहीएखादा अधिकारी पकडल्या गेला त्यानं म्हटलं मोदी साहेबान संगतल त मंग भरोसा कसा करू शकत बावा पुरावा पुरावा बोंबलून रायलो गुन्हा सिद
117,-1,पुरावा देणं भाऊ सुशिक्षित अशिन तू त विचार त रिप्लाय दे लोकं अडाणी समजतीन ना तुलेकोण आरोप झालं कायसिद्ध त होऊ दे मंग वायफळ बडबड करन तू
118,-1,खरं सगळीकडे
119,-1,अस सर्वात प्रथम ग्रुप चा अधिकृत ग्रुप गोष्ट राष्ट्रवादी युवक कॉंग्रेस चे महाराष्ट्र सचिव यांनी स्पष्टपणे सांगितली
120,-1,राधे‌ राधे मित्र
121,-1,मला व्यंग आवडला इतकंच
122,-1,आंतर राष्ट्रीय विमानतळ नवी मुंबई
123,-1,खिचडी म्हणणारे महाराष्ट्र द्रोही
124,-1,भरोसा खरंच लावतील अरे बाबांनो व्यंग
125,-1,मग माज्याच गेली ट्विटर वरची
126,1,आम्हाला चिपको आंदोलन चालते आम्ही वनसंवर्धन झाडाझुडपांच्या दुर्मिळ प्रजातींचे पुरस्कर्ते रक्षणकर्ते आहोत परंतु आम्हाला वटपौर्णिमा बुरसट प्रकार वाटतो चुकीच्या रूढीप्रथांना जरूर विरोध असावा डोळसपणे
127,-1,ज्याचं जळतं त्यालाच कळतं
128,-1,सर तुम्ही तरुणाई तले आठवले साहेब बघितले अभ्यास ले आम्ही आठवले साहेबां चा आदर करणाऱ्या माणसा मधले आहोत आलोचक तुम्ही चुकीचा अर्थ घेतला असो आठवले साहेब नेहमी अदरणीय राहातील यात कोणती शंका समाज आप
129,1,करवटे बदलते रहे सारी रात हम आवाक्याबाहेरची स्वप्ने बघू नयेत शक्यतो रात्री झोपताना मच्छरदाणी लावून झोपावे
130,-1,मला व्यंग च्या उद्देशाने लिहिले
131,-1,तुला कधी अंधभक्त म्हटलं तू मला बोलला भक्त दिसतोस म्हणालो साधासुधा नरुचा अंधभक्त माझ्याबद्दल बोललो तुला अस वाटलं तुला उद्देशून बोलतोय लेकी बोले सुने लगे अस झाल तुझ सं
132,-1,गलिच्छ भाषिक एवढे येडे फक्त नरुभाई चे अंधभक्तच असू शकतात
133,1,कधी कधी मला पाताळात राहणाऱ्या लोकांचा खूप हेवा वाटतो आपल्याइथेच लोक असतात लोक त्याच्याही खाली असतात
134,-1,हॅशटॅग मध्ये व्यंग वाह
135,1,धंदा बिंदा विपिनजी पवार साहेब भारतातले सर्वोच नेते व्यंग त्यांना दिल्ली मध्ये सरकारी बंगला दिला साफ सफाई करायला गेले असतील
136,-1,हो भरपेट जेवून असलं सुचतय उद्या निर्जला एकादशी असेल कदाचित कारण पुढचं जेवण परवा दिवशी
137,-1,मेरे पास
138,-1,नरू च नाव घेतलेल त्यात
139,-1,खरच भिलो बर साधा व्यंग कळत चालले देशाच राजकारण
140,-1,बोलायचं ह्या नमाजिनना व्यंग समजत नाय
141,-1,बोलायचं ह्या भक्तांना व्यंग समजत नाय
142,1,व्यंग मधले सगळे टॉपर विध्यार्थी जिल्हा परिषद वरती शिक्षक जे मध्ये सगळी पास लग्नाळू बिनपगारी लोकांची गर्दी
143,1,अंथरूण पाहून पाय पसरणे डेबिट कार्ड अंथरूण पाहताच पाय पसरणे क्रेडिट कार्ड
144,-1,व्यंग घ्यायचं
145,-1,मैत्री करत असाल पाण्या सारखी निर्मळ करा दूर वर जाऊन सुद्धा क्षणों क्षणी आठवेल करा
146,-1,बर व्यंग लक्षात नसेल अलविदा
147,1,मटणाचा रस्सा स्ट्रॉच्या नळीतुन ओढणारा तु तुला शेपूची भाजी आवढते येडया तसाच
148,1,चा निबंध लिहायला लावतो शेवटी सांगतो भाई कुछ जमा नही तेको व्यंग
149,-1,साठी वाया घालवली आहेतच
150,-1,वाचता करणारे ट्विट व्यंग भयंकर मीम्स हसवणारे मीम्स मीम्स नवाब मलिक चे स्पेशल स्टेटमेंट लिखाण गोष्टी मजेदार ट्व
151,-1,मग केंद्रीय सौंस्था झाडू मारतायत
152,-1,पहिल्यांदा वाटलं व्यंग वैगेरे असेल अवघड याचं कशी जगत असतील लोक त्यांच्या आयुष्यात किती त्रास असेल यांच्या घरच्यांना
153,-1,त्याने योगीला टार्गेट करण्यासाठी व्यंग लिहिला त्याने लोक समजत नाहीत
154,-1,पहिल्यांदा वाचल्यावर मलाही नं लिहीलंय असं वाटलं होतं अकौंटचे जुने ट्विटस् पाहिल्यावर लिहीलं असण्याची शक्यता जास्त तसं असेल फार भारी व्यंग जमलाय
155,-1,सांस्कृतिक टूच्च वर्णियांवर व्यंग
156,-1,आमदार खासदार यांच्या संख्येवरून काहीच ठरत नसतं राव गेम चेंजर असावं लागतं कळलं
157,-1,हॅशटॅग नीट वापरा
158,1,महाराष्ट्रातील १ जबाबदार करदाता असुन शासनाच्या तात्काळ सेवेत नोकरीसआहे शासनास २ दिवसाचे वेतन देखील कोवीड मदत म्हणुन स्वईच्छेन् देत असुनअजुनही १ल्या लसीकरणाच्या प्रतिक्षेत
159,-1,मध्ये वेगवेगळ्या ग्रेड्स असतात ज्यामध्ये मॅग्नेटिक नॉनमॅग्नेटिक व्हॅरिअंट्स असतात इथे पोस्ट व्यंग लक्षात घ्या
160,-1,आनी आमची आई व्यंग ची घेवुन बसलिए
161,-1,स्त्यानास
162,-1,तुम्ही पुणेकर किती व्यंग बोलता ना पुणेकर त्याला टोमणा मारण असं बोलतात
163,-1,अत्याचार
164,-1,व्यंग ज्या व्यक्तीला कळत त्याच्यापासून ४ हात दूर राहावे
165,-1,मॉर्निंग सर
166,-1,तू क्यू
167,-1,सुप्रीमसी
168,1,ज्याच्या अंगाला जास्त खाज सुटत असेल त्याला खाजवर औषध देता नखं वाढवायला औषधं पाहिजे
169,-1,शिवाय नमः
170,-1,सगळी ब्रेक डान्स करताय गोविंदा स्पेशल व्यंग
171,1,राष्ट्रपतीच्या दिमतीला घोड्यांची टीम अजून आपण रॉयल वगैरे मेंटेन करतो यात फक्त जातींच्या लोकांना भरती करतात जाटराजपूत जाट शीख राष्ट्रपती दलित इतके घोडे दिमतीला अजूनही देशात दलितांना घोड्यावर बसू देत नाहीत
172,-1,आपण स्वतः पेपर मधे पास झालो वाल्यांच्या तोंडात आलेला घास ओढणे किती व्यंग
173,-1,वडेट्टीवार किरायाची सायकल खेळायला मित्राच्या गल्लीत गेले किरायाची सायकल स्वतःची फुशारक्या मारायला सुरवात केलीच दुकानदाराने मानगुट पकडली
174,-1,व्यंग भाई आपण जेव्हा बिहार बंगाल मध्ये जातो तेव्हां शिस्तीत शांत राहतो हीत दादागिरी करतात म्हणुन यांना मारतात आपली लोक
175,-1,मेरी फ्रेंड थी बंगाली
176,-1,हिंदीत ज्या पद्धतीने व्यंग प्रकारातील स्पेस असतात तशा पद्धतीने मराठीत स्पेस घेतल्या मुलांना नराधम घोषित जाईल चर्चासत्रात मुलींच्या वतीने बोलायला टीका करायला ताईचे दादा सर्वात जास्त अग्रेसर असतील
177,-1,बरं व्यंग होतं तुमचं
178,-1,एकच पर्याय भारताला गरज तरुण तडफदार हुशार कनवाळू अशा युवा नेतृत्वाची
179,-1,तुम्हाला कडून नोटीस
180,-1,भक्तांना व्यंग कळणार गोवऱ्या थापा
181,-1,बरोबरच माझा रिप्लाय व्यंग
182,-1,अडाणचोट इथे माहीत नव्हतं व्यंग समजत मारा रिपोर्ट
183,-1,ह्याला म्हणतात थेट व्यंग
184,-1,राहुल गांधी यांनी केंद्रीय गृहमंत्री केलेल्या कार्याबाबत माझ्या मनात शंका त्यांना अर्थमंत्री आरोग्यमंत्री म्हणूनही देशाची स्थिती नीट हाताळता आलेली त्यांच्या कार्याबाबत असमाधानी सर्व्हेश्वरांनी कृपया नोंद घ्यावी
185,-1,विदर्भ सुद्धा मोजत असतील देवेंद्र जी यांचं लग्न झालं विदर्भ स्वतंत्र असं
186,-1,च व्यंग मध्ये गंगा नदीत दिसणारे प्रेत जर इकडे दिसली असती भक्तांनी उडून उडून उड्यामारल्या असत्या
187,-1,बोलण्यामध्ये विडंबना टाकण्यासाठी असेल ठीक आहेपण इंग्रजी तारखे पेक्षा हिंदू तिथी जास्त असते सांगणे नं लगे महत्वाचं बुद्धाचा जन्म ज्ञानप्राप्ती महानिर्वाण तीनही वैशाख पौर्णिमेलाच झालं होतं
188,-1,तोच आंबा तोंडाला फासला पिंपल्स आंब्याचा गर काढून घ्यायचा त्यात लिंबू आलं मिरच्या ठेचून घाला कोरफड असेल उत्तम नाहीतर शेवग्याच्या शेंगा उकडून गर मिक्स करा छान फेस पॅक तयार होतो
189,-1,बॉट राष्ट्रवादीचा शेनेच्या पोलखोल करायला भाड्याने ठेवली तिला
190,-1,ट्वीटरवर लोकांना व्यंग समजतच नाहीत साला धडाधड शीव्यांची लाखोली वाहतात
191,-1,त्यो घटनातज्ञ आपण लॉजिकल कळल फुकटचे सल्ले द्यायला आधी आपली खायची सोय बघा
192,-1,फ्रस्ट्रेशन
193,-1,शेवटची स्पेस क्रॅश होण्याईतका काहीच
194,1,संजय राऊत चा माणूस जे बोलतात व्यंग असत ममु ना टोमणा शिव सेना संपवायचं मोदी शहा ला वर्ष लागले असते ह्यांनी वर्षात
195,-1,व्यंग चा प्रश्न येतोच कुठुन राजकीय आकस ईतका भीनलाय मनामध्ये हजारोवर्ष जुन्या ऊपचार पध्दतीला ५० वर्ष जुन्या पक्षावरच्या रागामुळे प्रश्न ऊपस्थित करताय दिसतय कोणाला गरज
196,1,उद्या रविवार सुट्टी कोणीही मामूला टॅग कुठलाही प्रश्न विचारू नये आधीच हृदयविकाराचे पेशंट थोडं सांभाळून
197,-1,म्हणे लोकांना हसण्यासाठी व्यंग कुठली गोष्ट अती तिची मातीच जोक करायचा गोष्टी मुली मुली सारखंच
198,1,टरबूज मध्ये फसणवीस नावाची व्हरायटी ट्राय करा वेळेनुसार रंग बदलते
199,-1,फनी शब्द व्यंग मध्ये बोललो
200,-1,काल पर्यंत सडेतोड असलेला पत्रकार सैनिकांसाठी दलाल प्रेश्या झालाय व्यंग
201,-1,बाई सारखी वाग चुकीचं केलं तिने तुला व्यंग कळत तुझ्या वर येऊन तुला बोलली
202,1,अंटार्क्टीका येथून आजवरचा सर्वात मोठा हिमनग तुटला बसा निवांत घराला धडकायला थोडाच
203,-1,मिडीयाने आमच्या रामराज्याची बदनामी थांबवावी योगीजी फार उत्तम करताय प्रत्येक घरात जाऊन करू शकत ना
204,-1,मुलींना वाईट म्हणतच मीपण मुलींना व्यंग कळतं नसेल अशा लोकांपासून दूर राहिलेलं बर
205,-1,पोलिस स्टेशन मध्ये गांधीचा फोटो व्यंग
206,-1,माफ करा मिटकरींना डिफेन्ड करत तुम्हाला यात व्यंग दिसला
207,-1,मतदान कार्ड काढा ताई
208,-1,
209,1,आत्मनिर्भर च्या गोष्टी करणारे भक्ताड च्या स्वागतासाठी सतरंज्या टाकून रेडी हाय
210,-1,तोड तुम्हाला वरच्या लेवल चा व्यंग सुसू ताई ला टॅग करा
211,-1,माझ्या मते करोना स्वातंत्र्य संग्राम एकत्र चर्चेचे विषय नाहीत अवधूत वाघ यांनीही केवळ १९४७ पूर्वी देशात कोण यावर व्यंग प्रतिक्रिया संबंध करोनाशी देशात याआधीही प्लेग साथ भोपाळ गॅस
212,-1,याचं नाव व्यंग होतं त्याने आत्ताच विष खाऊन आत्महत्या केल
213,-1,भाजप मध्ये प्रवेश घेतला आधी तुम्हीं देशद्रोही व्यंग खर असु शकत
214,-1,मोदीजी आल्यावरच भारताची प्रगती
215,1,माझ्या मम्मी पप्पाच्या लग्नात मीच बुंदी वाढायला होतो शेठ
216,-1,व्यंग टोमणा कळाला तुम्हाला समीर लक्ष्मण भोसले
217,-1,सर आकडे रोज टाकत जा शिल्लक नसतील द्या दिवशी आकडे टाकत नाहीत तुम्ही उगीच लोकांना तुम्ही राजकारण करताय असं वाटायचं
218,-1,ब्रेकिंग न्युज कवीवर्य ग दि माडगुळकर यांना नोटीस
219,-1,सरळ भाषेत नुसती बडबड करायची
220,-1,कधी करायचं बोल
221,-1,छे बाबा आपल्याला जमायचं असलं
222,-1,वाह मुलांना किती असतात असंख्य अगदी चित्रातून दाखवण्याचा अगदी नवीनच प्रयत्न
223,-1,कोरोना काळात मोदी यांच्या निवडणूक प्रचार सभेत झालेली गर्दी
224,-1,यावरून महानगर पालिकेचा भोंगळ कारभार समोर येतो मित्र परिजन बंगाल इलेक्शन पासून अमेरिकेच्या इलेक्शन पर्यंत चर्चा करतात हक्काचा रस्ता महानगर पालिकेकडून करवून घेऊ शकत व्यंग माननीय नगरसेवक साहेबांना विनंती आहेहे पूर्ण करण्यासाठी त्यांनी पुढाकार घ्यावा
225,-1,बातमीची सुरुवात करताना देशातील महान राष्ट्रपुरुष असं लिहिलंय घाबरून लिहिलंय व्यंग
226,-1,अरे तू इतके बोलू नको आम्हाला खरोखर च प्रश्न पडलाय विचारतोय व्यंग रिप्लाय नाहीय
